,win_percentage,draw_percentage,lose_percentage,percentage_score_over_0_5,percentage_score_over_1_5,percentage_score_over_2_5,percentage_score_over_3_5,percentage_concede_over_0.5,percentage_concede_over_1.5,percentage_concede_over_2.5,percentage_concede_over_3.5,percentage_total_goals_over_0.5,percentage_total_goals_over_1.5,percentage_total_goals_over_2.5,percentage_total_goals_over_3.5,percentage_total_goals_over_4.5,percentage_team_score,percentage_score_in_1st_half,percentage_concede_in_1st_half,percentage_score_in_2nd_half,percentage_concede_in_2nd_half
Burnley,38.89,22.22,38.89,77.78,44.45,19.45,13.89,77.78,44.45,19.45,13.89,100.0,94.44,55.56,38.89,27.78,77.78,52.77,52.77,58.33,58.33
Arsenal,44.45,11.11,44.45,75.0,52.77,22.22,11.11,75.0,52.77,22.22,11.11,100.0,94.44,72.22,50.0,22.22,75.0,52.77,52.77,58.33,58.33
Bournemouth,34.21,31.58,34.21,73.68,47.37,15.79,7.89,73.68,47.37,15.79,7.89,94.74,84.21,63.16,31.58,5.26,73.68,42.11,42.11,55.26,55.26
Brighton,32.36,35.29,32.36,82.35,35.3,23.53,11.76,82.35,35.3,23.53,11.76,94.12,82.35,58.82,47.06,17.65,82.35,50.0,50.0,61.77,61.77
Everton,39.48,21.05,39.48,63.16,28.95,13.16,0.0,63.16,28.95,13.16,0.0,94.74,63.16,36.84,15.79,0.0,63.16,31.58,31.58,44.74,44.74
Sheffield United,38.89,22.22,38.89,80.56,58.33,27.78,13.89,80.56,58.33,27.78,13.89,100.0,88.89,83.33,66.67,38.89,80.56,52.77,52.77,69.44,69.44
Newcastle,39.47,21.05,39.47,78.94,47.37,34.21,21.05,78.94,47.37,34.21,21.05,100.0,84.21,68.42,52.63,31.58,78.94,57.9,57.9,55.26,55.26
Brentford,30.55,38.89,30.55,80.56,50.0,22.22,5.55,80.56,50.0,22.22,5.55,88.89,83.33,66.67,55.56,22.22,80.56,52.78,52.78,58.34,58.34
Chelsea,38.89,22.22,38.89,75.0,58.33,27.78,16.66,75.0,58.33,27.78,16.66,100.0,83.33,61.11,50.0,38.89,75.0,58.34,58.34,63.89,63.89
Man United,41.66,16.67,41.66,77.78,50.0,19.45,2.78,77.78,50.0,19.45,2.78,100.0,77.78,66.67,33.33,16.67,77.78,50.0,50.0,55.55,55.55
Nott'm Forest,36.84,26.32,36.84,84.21,52.63,13.16,0.0,84.21,52.63,13.16,0.0,100.0,89.47,52.63,36.84,21.05,84.21,42.11,42.11,73.69,73.69
Fulham,44.74,10.53,44.74,65.79,39.48,26.32,7.89,65.79,39.48,26.32,7.89,94.74,78.95,63.16,36.84,15.79,65.79,39.48,39.48,57.89,57.89
Liverpool,41.67,16.67,41.67,80.56,47.23,36.12,13.89,80.56,47.23,36.12,13.89,94.44,88.89,72.22,50.0,27.78,80.56,58.34,58.34,55.55,55.55
Wolves,42.11,15.79,42.11,84.21,42.11,15.79,5.26,84.21,42.11,15.79,5.26,100.0,84.21,63.16,26.32,10.53,84.21,47.37,47.37,60.52,60.52
Tottenham,50.0,0.0,50.0,94.44,55.55,19.45,5.56,94.44,55.55,19.45,5.56,100.0,100.0,88.89,38.89,22.22,94.44,55.56,55.56,66.67,66.67
Man City,36.11,27.78,36.11,80.56,41.66,25.0,13.89,80.56,41.66,25.0,13.89,94.44,83.33,55.56,50.0,33.33,80.56,50.0,50.0,58.33,58.33
Aston Villa,39.47,21.05,39.47,86.84,55.27,39.47,13.16,86.84,55.27,39.47,13.16,100.0,89.47,78.95,73.68,31.58,86.84,50.0,50.0,78.94,78.94
West Ham,28.95,42.11,28.95,78.95,47.37,18.43,5.26,78.95,47.37,18.43,5.26,94.74,89.47,52.63,47.37,15.79,78.95,52.63,52.63,52.63,52.63
Crystal Palace,38.89,22.22,38.89,75.0,50.0,25.0,8.33,75.0,50.0,25.0,8.33,88.89,83.33,61.11,44.44,27.78,75.0,41.66,41.66,61.11,61.11
Luton,38.89,22.22,38.89,91.66,41.66,19.45,8.33,91.66,41.66,19.45,8.33,100.0,88.89,66.67,33.33,22.22,91.66,44.45,44.45,72.22,72.22
